,title,address_code,beds,baths,year_built,tenure,property_type,mrt_distance,sqft,price
3968,2 Bed Condo for Sale in Forett @ Bukit Timah,['(D21)'],2,1,2023,Freehold,Apartment,['(915 m)'],549,o be confirmed
3969,4 Bed Condo for Sale in Penrose,['(D14)'],4,3,2024,99,Apartment,['(452 m)'],"1,389",o be confirmed
3970,1 Bed Condo for Sale in The Florence Residences,['(D19)'],1,1,2023,99,Condo,['(1194 m)'],484,"809,000"
3971,3 Bed Condo for Sale in Commonwealth Towers,['(D3)'],3,2,2019,99,Condo,['(128 m)'],904,"1,880,000"
3972,4 Bed Condo for Sale in Tedge,['(D14)'],4,2,2022,Freehold,Apartment,['(730 m)'],"1,184","1,600,000"
3973,5 Bed House for Sale in Eastwood Green Terraces,['(D16)'],5,5,,99,Corner Terrace,,"2,654","2,680,000"
3974,5 Bed House for Sale in Pasir Ris Beach Park,['(D18)'],5,3,1977,,Terraced House,,"2,220","2,100,000"
3975,2 Bed Condo for Sale in Forte Suites,['(D8)'],2,,2018,Freehold,Condo,['(1392 m)'],614,"1,250,000"
3976,5 Bed House for Sale in Lorong Siglap,['(D15)'],5,5,,,,,"1,958","4,000,000"
3977,HDB Flat for Sale in 232 Bishan Street 22,['(D20)'],3,2,1992,,HDB,['(1065 m)'],"1,134","595,000"
3978,HDB Flat for Sale in 426 Ang Mo Kio Avenue 3,['(D20)'],3,2,1978,99,HDB,['(430 m)'],985,"480,000"
3979,6 Bed House for Sale in Branksome Road,['(D15)'],6,6,,,Bungalow,,"7,000","13,800,000"
3980,2 Bed Condo for Sale in Jade Residences,['(D19)'],2,1,2017,Freehold,Condo,['(463 m)'],"1,044","1,290,000"
3981,5 Bed Condo for Sale in Amber Park,['(D15)'],5,3,2023,Freehold,Condo,,"2,045","4,800,870"
3982,1 Bed Condo for Sale in Amber Park,['(D15)'],1,1,2023,Freehold,Condo,,484,"1,186,540"
3983,3 Bed Condo for Sale in Parc Vista,['(D22)'],3,2,1998,99,Condo,['(364 m)'],"1,281","1,250,000"
3984,4 Bed Condo for Sale in D'nest,['(D18)'],4,3,2017,99,Condo,['(872 m)'],"1,410","1,650,000"
3985,7 Bed House for Sale in Sunset Way,['(D21)'],7,6,,,Bungalow,,"4,430","9,500,000"
3986,3 Bed Condo for Sale in The Reef At King's Dock,['(D4)'],3,3,2025,99,Condo,['(353 m)'],"1,345","3,367,000"
3987,HDB Flat for Sale in 473A Upper Serangoon Crescent,['(D19)'],3,2,2017,99,HDB,['(1318 m)'],"1,216","688,000"
