,title,address_code,beds,baths,year_built,tenure,property_type,mrt_distance,sqft,price
0,HDB Flat for Sale in 110A Depot Road,['(D4)'],3,3,,99,HDB,,990,"730,000"
1,HDB Flat for Sale in 208B Clementi Avenue 6,['(D5)'],2,2,,,HDB 3 Rooms,['(906 m)'],731,"610,000"
2,HDB Flat for Sale in 560 Hougang Street 51,['(D19)'],4,2,1999,99,HDB,['(438 m)'],"1,539","768,000"
3,HDB Flat for Sale in 322C Anchorvale Drive,['(D19)'],3,2,2002,99,HDB,['(369 m)'],"1,184","558,888"
4,HDB Flat for Sale in 225 Ang Mo Kio Avenue 1,['(D20)'],2,2,1978,,HDB 3 Rooms,,882,"375,000"
5,3 Bed Condo for Sale in Apleton View,['(D11)'],3,3,2005,Freehold,Condo,['(271 m)'],"1,853","3,300,000"
6,4 Bed Condo for Sale in Marina One Residences,['(D1)'],4,5,2018,99,Condo,['(160 m)'],"2,250","7,500,000"
7,2 Bed Condo for Sale in Optima @ Tanah Merah,['(D16)'],2,2,2012,99,Apartment,['(102 m)'],915,"1,250,000"
8,1 Bed Condo for Sale in The Quinn,['(D19)'],1,1,2016,Freehold,Condo,['(794 m)'],560,"899,000"
9,4 Bed Condo for Sale in Marina One Residences,['(D1)'],4,4,2018,99,Condo,['(160 m)'],"2,045","5,500,000"
10,4 Bed Condo for Sale in Wallich Residence,['(D2)'],4,4,2016,99,Condo,['(75 m)'],"1,658","6,038,000"
11,4 Bed Condo for Sale in TRE Residences,['(D14)'],4,3,2018,99,Condo,['(223 m)'],947,"1,600,000"
12,1 Bed Condo for Sale in Marina One Residences,['(D1)'],1,1,2018,99,Condo,['(160 m)'],710,"1,750,000"
13,1 Bed Condo for Sale in Marina One Residences,['(D1)'],1,1,2018,99,Condo,['(160 m)'],710,"1,680,000"
14,2 Bed Condo for Sale in Guillemard Suites,['(D14)'],2,3,2017,Freehold,Condo,['(513 m)'],808,"1,200,000"
15,2 Bed Condo for Sale in The Topiary,['(D28)'],2,2,2016,99,Condo,['(939 m)'],753,"786,000"
16,2 Bed Condo for Sale in My Manhattan,['(D18)'],2,2,2014,99,Condo,['(179 m)'],861,"1,250,000"
17,2 Bed Condo for Sale in 8 St Thomas,['(D9)'],2,2,2018,Freehold,Condo,['(505 m)'],"1,044","2,851,000"
18,2 Bed Condo for Sale in Riversails,['(D19)'],2,2,2017,99,Condo,['(818 m)'],947,"1,100,000"
19,1 Bed Condo for Sale in The Brooks I & II,['(D26)'],1,1,2016,Freehold,Apartment,,571,"794,000"
20,2 Bed Condo for Sale in Sophia Hills,['(D9)'],2,2,2018,99,Condo,['(306 m)'],710,"1,590,000"
21,3 Bed Condo for Sale in Oasis @ Elias,['(D18)'],3,3,2012,99,Condo,['(1494 m)'],"1,200","1,088,000"
22,HDB Flat for Sale in 21 Jalan Membina,['(D3)'],3,2,1976,99,HDB,['(170 m)'],968,"629,999"
23,2 Bed Condo for Sale in Marina One Residences,['(D1)'],2,2,2018,99,Condo,['(160 m)'],"1,055","2,470,000"
24,HDB Flat for Sale in 194B Bukit Batok West Avenue 6,['(D23)'],3,2,,99,HDB,['(983 m)'],989,"680,000"
25,2 Bed Condo for Sale in Nathan Place,['(D10)'],2,2,2006,Freehold,Condo,,"1,184","2,300,000"
26,1 Bed Condo for Sale in Queens Peak,['(D3)'],1,1,2020,99,Condo,['(82 m)'],441,"868,000"
27,5 Bed House for Sale in Frankel Estate,['(D15)'],5,5,2014,Freehold,Landed,['(1391 m)'],"5,535","10,000,000"
28,3 Bed Condo for Sale in Natura @ Hillview,['(D23)'],3,2,2016,Freehold,Condo,,"1,216","1,420,000"
29,4 Bed EC for Sale in Forestville,['(D25)'],4,4,2016,99,Executive Condo,['(1439 m)'],"1,378","1,370,000"
30,HDB Flat for Sale in 857 Tampines Street 83,['(D18)'],4,3,1987,99,HDB,,"1,572","850,000"
31,1 Bed Condo for Sale in Midtown Residences,['(D19)'],1,1,2016,99,Condo,['(296 m)'],452,"745,000"
32,3 Bed Condo for Sale in South Beach Residences,['(D7)'],3,3,2016,99,Condo,['(127 m)'],"1,959","6,242,000"
33,1 Bed Condo for Sale in Suites De Laurel,['(D21)'],1,1,2012,99,Condo,['(705 m)'],624,"1,020,000"
34,2 Bed Condo for Sale in Casa Merah,['(D16)'],2,2,2009,99,Condo,['(234 m)'],947,"1,180,000"
35,1 Bed Condo for Sale in Queens Peak,['(D3)'],1,1,2020,99,Condo,['(82 m)'],441,"868,000"
36,5 Bed House for Sale in Frankel Estate,['(D15)'],5,5,2014,Freehold,Landed,['(1391 m)'],"5,535","10,000,000"
37,3 Bed Condo for Sale in Natura @ Hillview,['(D23)'],3,2,2016,Freehold,Condo,,"1,216","1,420,000"
38,4 Bed EC for Sale in Forestville,['(D25)'],4,4,2016,99,Executive Condo,['(1439 m)'],"1,378","1,370,000"
39,HDB Flat for Sale in 857 Tampines Street 83,['(D18)'],4,3,1987,99,HDB,,"1,572","850,000"
40,1 Bed Condo for Sale in Midtown Residences,['(D19)'],1,1,2016,99,Condo,['(296 m)'],452,"745,000"
41,3 Bed Condo for Sale in South Beach Residences,['(D7)'],3,3,2016,99,Condo,['(127 m)'],"1,959","6,242,000"
42,1 Bed Condo for Sale in Suites De Laurel,['(D21)'],1,1,2012,99,Condo,['(705 m)'],624,"1,020,000"
43,2 Bed Condo for Sale in Casa Merah,['(D16)'],2,2,2009,99,Condo,['(234 m)'],947,"1,180,000"
44,3 Bed EC for Sale in Waterbay,['(D19)'],3,3,2016,99,Executive Condo,['(258 m)'],"1,097","1,100,000"
45,2 Bed Condo for Sale in Mackenzie 88,['(D9)'],2,2,2009,Freehold,Condo,['(251 m)'],850,"1,500,000"
46,2 Bed Condo for Sale in Hillsta,['(D23)'],2,1,2017,99,Condo,['(276 m)'],764,"999,000"
47,3 Bed Condo for Sale in Eco Sanctuary,['(D23)'],3,2,2016,99,Condo,['(2627 m)'],990,"1,400,888"
48,HDB Flat for Sale in 56 Cassia Crescent,['(D14)'],3,2,1998,99,HDB,['(439 m)'],"1,098","700,000"
49,2 Bed Condo for Sale in Sims Urban Oasis,['(D14)'],2,1,2017,99,Condo,['(408 m)'],710,"1,050,000"
50,HDB Flat for Sale in 255 Serangoon Central Drive,['(D19)'],3,2,1989,99,HDB,['(750 m)'],"1,238","728,000"
51,HDB Flat for Sale in 473B Upper Serangoon Crescent,['(D19)'],2,2,2017,99,HDB,['(1208 m)'],721,"438,000"
52,HDB Flat for Sale in 530C Pasir Ris Drive 1,['(D18)'],2,2,2015,99,HDB,['(118 m)'],699,"500,000"
53,2 Bed Condo for Sale in Midtown Residences,['(D19)'],2,2,2016,99,Condo,['(296 m)'],635,"899,000"
54,1 Bed Condo for Sale in Loft @ Stevens,['(D10)'],1,1,2014,Freehold,Condo,['(215 m)'],441,"1,088,000"
55,2 Bed Condo for Sale in Suites @ Eastcoast,['(D15)'],2,2,2014,Freehold,Condo,,570,"828,000"
56,3 Bed EC for Sale in The Topiary,['(D28)'],3,2,2016,99,Executive Condo,['(939 m)'],915,"1,000,000"
57,HDB Flat for Sale in 530A Pasir Ris Drive 1,['(D18)'],3,2,2015,99,HDB,['(156 m)'],925,"625,000"
58,3 Bed Condo for Sale in Livia,['(D18)'],3,3,2011,99,Condo,['(837 m)'],"1,410","1,390,000"
59,4 Bed Condo for Sale in Kingsford Waterbay,['(D19)'],4,3,2018,99,Condo,,"1,055","1,398,000"
60,3 Bed Condo for Sale in Gem Residences,['(D12)'],3,2,2020,99,Condo,['(736 m)'],947,"1,800,000"
61,3 Bed Condo for Sale in Lakeville,['(D22)'],3,3,2018,99,Condo,['(725 m)'],"1,163","1,750,000"
62,1 Bed Condo for Sale in Mount Sophia Suites,['(D9)'],1,1,2010,Freehold,Condo,['(393 m)'],560,"949,999"
63,1 Bed Condo for Sale in Suites At Orchard,['(D9)'],1,1,2014,99,Condo,['(202 m)'],548,"1,340,000"
64,2 Bed Condo for Sale in Nouvel 18,['(D10)'],2,2,2014,Freehold,Condo,['(1973 m)'],"1,335","3,738,000"
65,5 Bed House for Sale in Barker Road,['(D11)'],5,6,,,Landed,,"2,561","8,100,000"
66,Studio Condo for Sale in Lumiere,['(D2)'],Studio,1,2010,99,Condo,['(242 m)'],506,"906,000"
67,4 Bed Condo for Sale in Terrasse,['(D19)'],4,5,2015,99,Condo,,"1,884","1,900,000"
68,3 Bed Condo for Sale in Palm Loft,['(D15)'],3,2,2009,Freehold,Condo,['(1377 m)'],"1,540","1,690,000"
69,3 Bed Condo for Sale in Vacanza @ East,['(D14)'],3,2,2014,Freehold,Condo,['(3725 m)'],"1,033","1,330,000"
70,Studio Condo for Sale in Lumiere,['(D2)'],Studio,1,2010,99,Condo,['(242 m)'],506,"906,000"
71,4 Bed Condo for Sale in Terrasse,['(D19)'],4,5,2015,99,Condo,,"1,884","1,900,000"
72,3 Bed Condo for Sale in Palm Loft,['(D15)'],3,2,2009,Freehold,Condo,['(1377 m)'],"1,540","1,690,000"
73,3 Bed Condo for Sale in Vacanza @ East,['(D14)'],3,2,2014,Freehold,Condo,['(3725 m)'],"1,033","1,330,000"
74,1 Bed Condo for Sale in Marina One Residences,['(D1)'],1,1,2018,99,Condo,['(160 m)'],775,"1,580,000"
75,HDB Flat for Sale in 621 Bedok Reservoir Road,['(D16)'],3,2,1981,99,HDB,,"1,302","588,000"
76,3 Bed Condo for Sale in The Tembusu,['(D19)'],3,3,2017,Freehold,Condo,['(658 m)'],"1,389","2,588,000"
77,2 Bed Condo for Sale in Nine Residences,['(D27)'],2,2,2017,99,Condo,['(957 m)'],700,"859,000"
78,3 Bed Condo for Sale in Northoaks,['(D25)'],3,3,2000,99,Condo,['(2067 m)'],"1,248","847,000"
79,2 Bed Condo for Sale in My Manhattan,['(D18)'],2,2,2014,99,Condo,['(179 m)'],883,"1,250,000"
80,3 Bed Condo for Sale in Adana @ Thomson,['(D20)'],3,2,2019,Freehold,Condo,,947,"1,630,000"
81,3 Bed Condo for Sale in Eight Courtyards,['(D27)'],3,3,2014,99,Condo,,"1,152","1,288,888"
82,4 Bed Condo for Sale in Waterview,['(D18)'],4,3,2014,99,Condo,,"1,528","1,500,000"
83,3 Bed EC for Sale in Citylife @ Tampines,['(D18)'],3,3,2016,99,Executive Condo,['(1128 m)'],"1,184","1,380,000"
84,HDB Flat for Sale in 39 Telok Blangah Rise,['(D4)'],3,2,1976,99,HDB,['(1534 m)'],"1,227","580,000"
85,HDB Flat for Sale in 607 Elias Road,['(D18)'],4,2,1995,99,HDB,['(1181 m)'],"1,604","680,000"
86,4 Bed Condo for Sale in Skyline 360 @ St Thomas Walk,['(D9)'],4,4,2013,Freehold,Condo,['(409 m)'],"3,888","8,000,000"
87,HDB Flat for Sale in 310C Punggol Walk,['(D19)'],3,2,2016,99,HDB,['(205 m)'],990,"550,000"
88,5 Bed Condo for Sale in D'leedon,['(D10)'],5,4,2015,99,Condo,['(829 m)'],"4,900","5,380,000"
89,6 Bed House for Sale in Tampines Road,['(D19)'],6,7,,,,,"3,074","4,688,888"
90,HDB Flat for Sale in 310B Punggol Walk,['(D19)'],3,2,,,HDB 5 Rooms,['(268 m)'],"1,205","680,000"
91,HDB Flat for Sale in 623 Senja Road,['(D23)'],3,2,2001,,HDB 5 Rooms,['(279 m)'],"1,184","550,000"
92,4 Bed Condo for Sale in Seahill,['(D5)'],4,2,2016,99,Condo,,"3,574","3,743,710"
93,3 Bed Condo for Sale in Aquarius By The Park,['(D16)'],3,3,2002,99,Condo,,"1,227","1,165,000"
94,4 Bed Condo for Sale in Grange Infinite,['(D9)'],4,4,2011,Freehold,Condo,['(419 m)'],"2,562","6,000,000"
95,4 Bed Condo for Sale in Hedges Park Condominium,['(D17)'],4,4,2014,99,Condo,,"1,539","1,540,000"
96,1 Bed Condo for Sale in Sky Habitat,['(D20)'],1,1,2015,99,Condo,['(440 m)'],711,"1,220,000"
97,4 Bed Condo for Sale in Gambir Ridge,['(D19)'],4,3,2015,Freehold,Condo,['(529 m)'],"1,442","2,280,000"
98,3 Bed Condo for Sale in Lake Grande,['(D22)'],3,3,2020,99,Condo,['(428 m)'],904,"1,368,000"
99,HDB Flat for Sale in 859 Yishun Avenue 4,['(D27)'],4,2,1988,,HDB 5 Rooms,['(997 m)'],"1,313","560,000"
100,2 Bed Condo for Sale in Riversails,['(D19)'],2,2,2017,99,Condo,['(818 m)'],947,"1,090,000"
101,1 Bed Condo for Sale in Commonwealth Towers,['(D3)'],1,1,2019,99,Condo,['(128 m)'],441,"999,999"
102,HDB Flat for Sale in 677B Punggol Drive,['(D19)'],2,2,2016,99,HDB,['(189 m)'],"1,001","525,000"
103,2 Bed Condo for Sale in Midtown Residences,['(D19)'],2,2,2016,99,Condo,['(296 m)'],657,"960,000"
104,2 Bed Condo for Sale in Amber Skye,['(D15)'],2,2,2017,Freehold,Condo,,"1,119","2,450,000"
105,4 Bed Condo for Sale in Gambir Ridge,['(D19)'],4,3,2015,Freehold,Condo,['(529 m)'],"1,442","2,280,000"
106,3 Bed Condo for Sale in Lake Grande,['(D22)'],3,3,2020,99,Condo,['(428 m)'],904,"1,368,000"
107,HDB Flat for Sale in 859 Yishun Avenue 4,['(D27)'],4,2,1988,,HDB 5 Rooms,['(997 m)'],"1,313","560,000"
108,2 Bed Condo for Sale in Riversails,['(D19)'],2,2,2017,99,Condo,['(818 m)'],947,"1,090,000"
109,1 Bed Condo for Sale in Commonwealth Towers,['(D3)'],1,1,2019,99,Condo,['(128 m)'],441,"999,999"
110,HDB Flat for Sale in 677B Punggol Drive,['(D19)'],2,2,2016,99,HDB,['(189 m)'],"1,001","525,000"
111,2 Bed Condo for Sale in Midtown Residences,['(D19)'],2,2,2016,99,Condo,['(296 m)'],657,"960,000"
112,2 Bed Condo for Sale in Amber Skye,['(D15)'],2,2,2017,Freehold,Condo,,"1,119","2,450,000"
113,4 Bed Condo for Sale in Wallich Residence,['(D2)'],4,4,2016,99,Condo,['(75 m)'],"1,658","6,038,000"
114,5 Bed House for Sale in Sunset Way,['(D21)'],5,4,,,Landed,,"6,145","9,580,000"
115,2 Bed Condo for Sale in Eon Shenton,['(D2)'],2,1,2019,99,Condo,['(289 m)'],634,"1,380,000"
116,2 Bed Condo for Sale in Jade Residences,['(D19)'],2,1,2017,Freehold,Condo,['(463 m)'],"1,012","1,360,000"
117,4 Bed Condo for Sale in 8 St Thomas,['(D9)'],4,3,2018,Freehold,Condo,['(505 m)'],"1,744","5,672,000"
118,3 Bed Condo for Sale in Parc Rosewood,['(D25)'],3,2,2014,99,Condo,,"1,765","1,180,000"
119,2 Bed Condo for Sale in The Clift,['(D1)'],2,2,2011,99,Apartment,['(329 m)'],775,"1,480,000"
120,HDB Flat for Sale in 441D Fernvale Road,['(D28)'],3,2,2012,99,HDB,['(100 m)'],"1,011","549,999"
121,4 Bed Condo for Sale in The Tapestry,['(D18)'],4,4,2021,99,Condo,,"1,615","2,500,000"
122,HDB Flat for Sale in 234 Simei Street 4,['(D18)'],4,2,1988,,HDB 4 Rooms,['(233 m)'],"1,313","580,000"
123,1 Bed Condo for Sale in Sims Urban Oasis,['(D14)'],1,1,2017,99,Condo,['(408 m)'],463,"790,000"
124,5 Bed House for Sale in 29 Jalan Sentosa,['(D14)'],5,6,,,,['(930 m)'],"5,003","4,800,000"
125,1 Bed Condo for Sale in The Scotts Tower,['(D9)'],1,2,2016,10,Condo,['(384 m)'],807,"2,250,000"
126,1 Bed Condo for Sale in Viva Vista,['(D5)'],1,1,2015,Freehold,Condo,['(826 m)'],377,"650,000"
127,3 Bed Condo for Sale in Varsity Park Condominium,['(D5)'],3,3,2008,99,Condo,,"2,207","2,650,000"
128,1 Bed Condo for Sale in Marine Blue,['(D15)'],1,1,2016,Freehold,Condo,,635,"1,500,000"
129,6 Bed House for Sale in Frankel Estate,['(D15)'],6,6,2014,Freehold,Bungalow,['(1391 m)'],"4,650","7,500,000"
130,3 Bed Condo for Sale in Marina One Residences,['(D1)'],3,3,2018,99,Condo,['(160 m)'],"1,539","3,550,000"
131,3 Bed Condo for Sale in The Mayfair,['(D22)'],3,2,2000,99,Condo,['(375 m)'],"1,163","1,160,000"
132,HDB Flat for Sale in 123 Yishun Street 11,['(D27)'],2,2,1984,99,HDB,['(1055 m)'],732,"358,000"
133,2 Bed Condo for Sale in 26 Newton,['(D11)'],2,2,2016,Freehold,Condo,['(881 m)'],775,"1,760,000"
134,3 Bed EC for Sale in The Topiary,['(D28)'],3,2,2016,99,Executive Condo,['(939 m)'],"1,087","1,150,000"
135,5 Bed Condo for Sale in Leonie Towers,['(D9)'],5,5,1976,Freehold,Condo,['(1566 m)'],"2,960","5,624,000"
136,2 Bed Condo for Sale in 1919,['(D9)'],2,1,2015,Freehold,Condo,['(468 m)'],"1,001","1,790,000"
137,3 Bed EC for Sale in Forestville,['(D25)'],3,3,2016,99,Executive Condo,['(1439 m)'],"1,292","1,350,000"
138,3 Bed Condo for Sale in Queens Peak,['(D3)'],3,2,2020,99,Condo,['(82 m)'],850,"1,658,800"
139,Studio Condo for Sale in Grandview Suites,['(D14)'],Studio,1,2015,Freehold,Condo,['(409 m)'],420,"588,000"
140,2 Bed Condo for Sale in 1919,['(D9)'],2,1,2015,Freehold,Condo,['(468 m)'],"1,001","1,790,000"
141,3 Bed EC for Sale in Forestville,['(D25)'],3,3,2016,99,Executive Condo,['(1439 m)'],"1,292","1,350,000"
142,3 Bed Condo for Sale in Queens Peak,['(D3)'],3,2,2020,99,Condo,['(82 m)'],850,"1,658,800"
143,Studio Condo for Sale in Grandview Suites,['(D14)'],Studio,1,2015,Freehold,Condo,['(409 m)'],420,"588,000"
144,6 Bed House for Sale in Sembawang Straits Estate,['(D27)'],6,5,1997,Freehold,,,"2,431","3,780,000"
145,2 Bed Condo for Sale in A Treasure Trove,['(D19)'],2,2,2015,99,Condo,['(273 m)'],915,"1,080,000"
146,2 Bed Condo for Sale in Stratford Court,['(D16)'],2,2,1998,99,Condo,['(744 m)'],915,"849,000"
147,2 Bed Condo for Sale in The Luxurie,['(D19)'],2,2,2015,99,Condo,['(258 m)'],883,"1,100,000"
148,4 Bed Condo for Sale in Seahill,['(D5)'],4,3,2016,99,Condo,,"3,574","3,859,500"
149,3 Bed Condo for Sale in D'leedon,['(D10)'],3,3,2015,99,Condo,['(829 m)'],"1,500","2,388,000"
150,HDB Flat for Sale in 867A Tampines Street 83,['(D18)'],3,4,1989,99,HDB,,"1,571","790,000"
151,2 Bed Condo for Sale in The Estuary,['(D27)'],2,2,2013,99,Condo,['(780 m)'],"1,119","1,000,000"
152,2 Bed Condo for Sale in Regent Heights,['(D23)'],2,2,1999,99,Condo,['(1566 m)'],"1,023","858,888"
153,4 Bed Condo for Sale in Caribbean At Keppel Bay,['(D4)'],4,4,2004,99,Condo,['(843 m)'],"3,209","3,900,000"
154,4 Bed House for Sale in Le Royce @ Leith Park,['(D19)'],4,4,2006,Freehold,Cluster House,,"3,498","2,750,000"
155,2 Bed Condo for Sale in Parc Elegance,['(D15)'],2,2,2013,Freehold,Condo,['(759 m)'],"1,152","1,288,888"
156,HDB Flat for Sale in 2 Everton Park,['(D2)'],2,3,1980,99,HDB,['(433 m)'],"1,367","1,742,000"
157,1 Bed Condo for Sale in La Fiesta,['(D19)'],1,1,2017,99,Condo,['(196 m)'],452,"688,000"
158,5 Bed House for Sale in Kelly Villas,['(D15)'],5,6,,,Landed,,"4,845","6,100,000"
159,2 Bed Condo for Sale in The Waterline,['(D19)'],2,2,2013,Freehold,Condo,,"1,486","1,645,000"
160,2 Bed Condo for Sale in Bliss Loft,['(D12)'],2,1,2014,Freehold,Condo,,829,"1,098,000"
161,3 Bed Condo for Sale in The Luxurie,['(D19)'],3,3,2015,99,Condo,['(258 m)'],"1,012","1,250,000"
162,HDB Flat for Sale in 807A Chai Chee Road,['(D16)'],3,2,2016,99,HDB,['(2549 m)'],"1,001","580,000"
163,4 Bed Condo for Sale in The Lumos,['(D9)'],4,4,2011,Freehold,Apartment,['(808 m)'],"5,929","12,600,000"
164,3 Bed Condo for Sale in Bartley Residences,['(D19)'],3,3,2015,99,Condo,['(144 m)'],"1,098","1,712,888"
165,2 Bed Condo for Sale in South Beach Residences,['(D7)'],2,2,2016,99,Condo,['(127 m)'],"1,173","4,360,000"
166,3 Bed Condo for Sale in Riverbank @ Fernvale,['(D28)'],3,2,2017,99,Condo,['(335 m)'],"1,012","1,229,000"
167,2 Bed Condo for Sale in 8 Farrer Suites,['(D8)'],2,1,2017,Freehold,Condo,['(286 m)'],592,"1,000,000"
168,2 Bed Condo for Sale in Tiara,['(D9)'],2,2,1995,Freehold,Condo,['(2225 m)'],893,"2,050,000"
169,4 Bed House for Sale in Fernhill Crescent,['(D10)'],4,4,,,,,"6,231","15,000,000"
170,2 Bed Condo for Sale in Esparina Residences,['(D19)'],2,2,2013,99,Condo,['(203 m)'],935,"1,150,000"
171,4 Bed House for Sale in Mandai Garden,['(D26)'],4,5,,99,Landed,,"4,155","4,499,000"
172,1 Bed Condo for Sale in Vibes @ East Coast,['(D15)'],1,1,2015,Freehold,Condo,,409,"630,000"
173,1 Bed Condo for Sale in The Sail @ Marina Bay,['(D1)'],1,1,2008,99,Condo,['(216 m)'],657,"1,199,999"
174,HDB Flat for Sale in 749 Yishun Street 72,['(D27)'],3,2,1984,99,HDB,['(168 m)'],979,"480,000"
175,3 Bed Condo for Sale in Bartley Residences,['(D19)'],3,3,2015,99,Condo,['(144 m)'],"1,098","1,712,888"
176,2 Bed Condo for Sale in South Beach Residences,['(D7)'],2,2,2016,99,Condo,['(127 m)'],"1,173","4,360,000"
177,3 Bed Condo for Sale in Riverbank @ Fernvale,['(D28)'],3,2,2017,99,Condo,['(335 m)'],"1,012","1,229,000"
178,2 Bed Condo for Sale in 8 Farrer Suites,['(D8)'],2,1,2017,Freehold,Condo,['(286 m)'],592,"1,000,000"
179,2 Bed Condo for Sale in Tiara,['(D9)'],2,2,1995,Freehold,Condo,['(2225 m)'],893,"2,050,000"
180,4 Bed House for Sale in Fernhill Crescent,['(D10)'],4,4,,,,,"6,231","15,000,000"
181,2 Bed Condo for Sale in Esparina Residences,['(D19)'],2,2,2013,99,Condo,['(203 m)'],935,"1,150,000"
182,4 Bed House for Sale in Mandai Garden,['(D26)'],4,5,,99,Landed,,"4,155","4,499,000"
183,1 Bed Condo for Sale in Vibes @ East Coast,['(D15)'],1,1,2015,Freehold,Condo,,409,"630,000"
184,1 Bed Condo for Sale in The Sail @ Marina Bay,['(D1)'],1,1,2008,99,Condo,['(216 m)'],657,"1,199,999"
185,HDB Flat for Sale in 749 Yishun Street 72,['(D27)'],3,2,1984,99,HDB,['(168 m)'],979,"480,000"
186,4 Bed EC for Sale in Twin Fountains,['(D25)'],4,2,2016,99,Executive Condo,,"1,206","1,250,000"
187,1 Bed Condo for Sale in Alexis,['(D3)'],1,2,2012,Freehold,Condo,['(380 m)'],883,"1,200,000"
188,HDB Flat for Sale in 230C Tampines Street 24,['(D18)'],4,2,1993,,HDB 5 Rooms,['(1133 m)'],"14,940","575,000"
189,3 Bed EC for Sale in The Topiary,['(D28)'],3,2,2016,99,Executive Condo,['(939 m)'],"1,087","1,100,000"
190,4 Bed House for Sale in Hillcrest Villa,['(D11)'],4,6,2009,99,,['(373 m)'],"5,600","7,900,000"
191,4 Bed Condo for Sale in The Topiary,['(D28)'],4,4,2016,99,Condo,['(939 m)'],"1,389","1,468,000"
192,3 Bed Condo for Sale in Ascentia Sky,['(D3)'],3,3,2013,99,Condo,['(134 m)'],"1,475","2,250,000"
193,2 Bed Condo for Sale in R66 Apartments,['(D8)'],2,2,2007,Freehold,Condo,['(167 m)'],979,"1,250,000"
194,2 Bed Condo for Sale in Sunshine Mansions,['(D15)'],2,2,2006,Freehold,Condo,['(1059 m)'],790,"990,000"
195,1 Bed Condo for Sale in Suites @ Paya Lebar,['(D19)'],1,1,2013,Freehold,Condo,['(1113 m)'],398,"599,000"
196,4 Bed House for Sale in The Berthside,['(D4)'],4,2,2006,99,Terraced House,,"2,500","6,800,000"
197,1 Bed Condo for Sale in Robertson Edge,['(D9)'],1,2,2008,99,Condo,['(1661 m)'],872,"1,480,000"
198,2 Bed Condo for Sale in Kingsford . Hillview Peak,['(D23)'],2,2,2016,99,Condo,['(445 m)'],775,"1,060,000"
199,HDB Flat for Sale in 64 Kallang Bahru,['(D12)'],2,1,1974,,HDB 3 Rooms,['(1012 m)'],700,"300,000"
200,HDB Flat for Sale in 224 Simei Street 4,['(D18)'],3,2,1989,,HDB 3 Rooms,['(466 m)'],"1,119","488,200"
201,2 Bed Condo for Sale in Centra Residence,['(D14)'],2,2,2017,Freehold,Condo,['(742 m)'],957,"1,250,000"
202,3 Bed Condo for Sale in Tiong Bahru Estate,['(D3)'],3,2,,99,Walk-up,['(934 m)'],"1,119","1,119,000"
203,3 Bed Condo for Sale in Seaside Residences,['(D15)'],3,3,2021,99,Condo,,"1,130","2,380,000"
204,2 Bed Condo for Sale in La Fiesta,['(D19)'],2,2,2017,99,Condo,['(196 m)'],980,"1,168,000"
205,1 Bed Condo for Sale in City Gate,['(D7)'],1,1,2019,99,Condo,['(322 m)'],452,"998,000"
206,3 Bed Condo for Sale in The Montana,['(D10)'],3,3,2002,Freehold,Condo,['(1554 m)'],"2,250","3,990,000"
207,HDB Flat for Sale in 308C Punggol Walk,['(D19)'],3,2,2016,99,HDB,['(75 m)'],"1,206","698,000"
208,5 Bed House for Sale in Kim Lin Park,['(D10)'],5,6,,Freehold,,['(1109 m)'],"2,196","8,370,000"
209,3 Bed Condo for Sale in Echelon,['(D3)'],3,3,2016,99,Condo,['(186 m)'],"1,475","2,550,000"
210,2 Bed Condo for Sale in Centra Residence,['(D14)'],2,2,2017,Freehold,Condo,['(742 m)'],957,"1,250,000"
211,3 Bed Condo for Sale in Tiong Bahru Estate,['(D3)'],3,2,,99,Walk-up,['(934 m)'],"1,119","1,119,000"
212,3 Bed Condo for Sale in Seaside Residences,['(D15)'],3,3,2021,99,Condo,,"1,130","2,380,000"
213,2 Bed Condo for Sale in La Fiesta,['(D19)'],2,2,2017,99,Condo,['(196 m)'],980,"1,168,000"
214,1 Bed Condo for Sale in City Gate,['(D7)'],1,1,2019,99,Condo,['(322 m)'],452,"998,000"
215,3 Bed Condo for Sale in The Montana,['(D10)'],3,3,2002,Freehold,Condo,['(1554 m)'],"2,250","3,990,000"
216,HDB Flat for Sale in 308C Punggol Walk,['(D19)'],3,2,2016,99,HDB,['(75 m)'],"1,206","698,000"
217,5 Bed House for Sale in Kim Lin Park,['(D10)'],5,6,,Freehold,,['(1109 m)'],"2,196","8,370,000"
218,3 Bed Condo for Sale in Echelon,['(D3)'],3,3,2016,99,Condo,['(186 m)'],"1,475","2,550,000"
219,1 Bed Condo for Sale in Euhabitat,['(D14)'],1,1,2016,99,Condo,['(2347 m)'],527,"720,000"
220,2 Bed Condo for Sale in Rivertrees Residences,['(D28)'],2,2,2018,99,Condo,['(196 m)'],710,"990,000"
221,4 Bed Condo for Sale in Kingsford Waterbay,['(D19)'],4,2,2018,99,Condo,,"1,033","1,440,000"
222,3 Bed EC for Sale in Riverparc Residence,['(D19)'],3,3,2014,99,Executive Condo,['(186 m)'],"2,067","1,550,000"
223,1 Bed Condo for Sale in Kingsford Waterbay,['(D19)'],1,1,2018,99,Condo,,484,"620,000"
224,1 Bed Condo for Sale in Lumiere,['(D2)'],1,1,2010,99,Condo,['(242 m)'],624,"1,157,000"
225,HDB Flat for Sale in 165 Gangsa Road,['(D23)'],3,2,1998,,HDB 4 Rooms,['(218 m)'],101,"578,000"
226,2 Bed Condo for Sale in The Gardens At Bishan,['(D20)'],2,2,2004,99,Condo,,883,"1,130,000"
